LATITUDE,LONGITUDE,DATE,TOTALAL_KALINITY,ELECTRICAL_CONDUCTANCE,DISSOLVED_REACTIVE_PHOSPHORUS,PET,NIR,GREEN,SWIR16,SWIR22,NDMI,MNDWI
-28.76083300,17.73027800,02-01-2011,128.91200000,555.0000000,10.00000000,174.200000,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225
-26.86111100,28.88472200,03-01-2011,74.72000000,162.9000000,163.00000000,124.100000,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211
-26.45000000,28.08583300,03-01-2011,89.25400000,573.0000000,80.00000000,127.500000,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494
-27.67111100,27.23694400,03-01-2011,82.00000000,203.6000000,101.00000000,129.700000,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852
-27.35666700,27.28638900,03-01-2011,56.10000000,145.1000000,151.00000000,129.200000,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826
-27.01011111,26.69808333,04-01-2011,82.20000000,289.8000000,192.00000000,98.600000,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309
-25.12777800,27.62888900,04-01-2011,125.00000000,438.0000000,163.00000000,105.500000,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741
-25.20639000,27.55800000,04-01-2011,116.62000000,568.0000000,69.00000000,103.700005,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489
-24.69514000,27.40906000,04-01-2011,181.83100000,583.0000000,158.00000000,111.800000,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377
-26.98472222,26.63227778,04-01-2011,196.00000000,452.0000000,158.00000000,98.200005,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067
-28.14194400,26.41777800,04-01-2011,94.71800000,227.9000000,132.00000000,93.800000,14391.0,9840.0,13799.5,11265.0,0.020982245792022,-0.1674950823832984
-27.39861100,26.61472200,04-01-2011,86.80000000,226.3000000,114.00000000,100.900000,15515.5,10247.0,12823.0,10403.5,0.0950120860313704,-0.111660164716081
-33.50166700,21.62416700,04-01-2011,201.00000000,769.0000000,74.00000000,100.200005,,,,,,
-32.50277800,19.53583300,04-01-2011,10.38700000,73.0000000,10.00000000,119.900000,17653.0,13104.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326
-25.45963889,28.26430556,04-01-2011,108.94000000,396.0000000,82.00000000,103.600000,13959.0,9926.0,15156.5,12552.5,-0.0411292953924884,-0.2085318449117902
-27.49555600,26.07472200,04-01-2011,67.80000000,218.6000000,91.00000000,99.700005,17937.5,11044.5,18143.5,14152.5,-0.0057093761259388,-0.2432163902973816
-26.64805600,27.08944400,05-01-2011,211.00000000,532.0000000,62.00000000,83.500000,19310.5,9597.0,12954.5,9447.5,0.1969936463660307,-0.1488814491275518
-26.97027800,27.21111100,05-01-2011,71.50000000,248.4000000,117.00000000,82.100000,10218.0,11040.0,7946.5,7735.0,0.1250516116601056,0.1629315566323431
-27.38972222,26.46388889,05-01-2011,82.14000000,255.5000000,74.00000000,83.200005,11481.0,11597.0,8583.0,8196.5,0.1444377990430615,0.1493557978196226
-27.04444400,27.00500000,05-01-2011,83.00000000,220.9000000,85.00000000,82.400000,17418.5,9908.0,13987.0,10115.0,0.1092643008390246,-0.1707051684452807
-30.83055600,26.92138900,06-01-2011,62.09900000,145.0000000,10.00000000,57.000000,5266.5,4491.0,3672.5,3764.5,0.1783197225640432,0.1002633674281852
-27.00222000,28.76528000,06-01-2011,34.85500000,114.5000000,150.00000000,70.000000,13724.0,9691.0,13005.5,10754.5,0.0268804130268054,-0.1460357323816441
-27.02314000,28.59389000,06-01-2011,41.40800000,148.8000000,152.00000000,72.400000,11490.5,9969.5,10372.5,9135.0,0.0511366235191874,-0.0198112280011797
-30.67972200,26.71250000,06-01-2011,55.29700000,138.3000000,44.00000000,59.800000,13400.0,10548.0,7764.0,7659.0,0.266301266301265,0.1520314547837475
-30.16009100,27.40124000,06-01-2011,57.91600000,167.1000000,13.00000000,57.400000,14158.0,10060.0,12037.5,10023.5,0.0809490179610998,-0.0894897612852128
-32.59583300,19.00944400,06-01-2011,8.62100000,63.1000000,19.00000000,52.700000,15218.5,10334.0,14735.0,12208.5,0.0161416862804012,-0.175555466911324
-25.99136000,27.84208000,10-01-2011,82.43200000,283.8000000,32.00000000,173.200000,18631.5,11771.5,16495.0,12815.0,0.0608230253512303,-0.1671059381246346
-26.73806000,27.59194000,10-01-2011,55.30000000,189.1000000,105.00000000,179.400010,9089.5,9167.0,7963.0,7740.0,0.066060694912769,0.0702860478692348
-26.45000000,28.08583300,10-01-2011,105.71100000,635.0000000,80.00000000,172.900010,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494
-30.86013889,29.07125000,10-01-2011,40.86100000,95.6000000,10.00000000,138.000000,14558.0,10724.5,11450.0,10000.5,0.1195016917871419,-0.0327177613925904
-27.35666700,27.28638900,10-01-2011,64.10000000,164.0000000,151.00000000,185.800000,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826
-27.01011111,26.69808333,11-01-2011,66.10000000,203.4000000,131.00000000,191.700000,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309
-25.73411000,27.21422000,11-01-2011,8.00000000,34.0400000,56.00000000,182.500000,21914.0,17765.0,22170.5,17965.5,-0.005818371536481,-0.1103153835559837
-26.98472222,26.63227778,11-01-2011,128.00000000,196.7000000,158.00000000,192.000000,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067
-27.39861100,26.61472200,11-01-2011,71.60000000,190.6000000,127.00000000,197.400010,15515.5,10247.0,12823.0,10403.5,0.0950120860313704,-0.111660164716081
-27.67111100,27.23694400,11-01-2011,75.09600000,275.7000000,71.00000000,192.100000,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852
-29.16027800,26.57333300,11-01-2011,120.27000000,177.3000000,10.00000000,199.100000,,,,,,
-34.25055600,20.99250000,11-01-2011,26.80000000,304.5000000,12.00000000,140.200000,12323.0,9019.0,13161.0,10800.5,-0.0328833778056818,-0.1867448151487818
-25.45963889,28.26430556,11-01-2011,132.00000000,489.0000000,82.00000000,182.800000,13959.0,9926.0,15156.5,12552.5,-0.0411292953924884,-0.2085318449117902
-25.81048333,27.90955222,12-01-2011,131.00000000,584.0000000,10.00000000,164.100000,16870.5,9753.0,13408.0,10257.0,0.1143550704295123,-0.1578083847847668
-27.27388900,28.49000000,12-01-2011,49.11400000,136.6000000,32.00000000,164.300000,12333.0,9060.0,9264.5,8181.0,0.1420766292394946,-0.0111599225081174
-27.42750000,28.52583300,12-01-2011,62.32600000,163.9000000,45.00000000,163.600000,16767.0,10794.0,18026.5,15340.5,-0.0361992900972881,-0.2509498447285778
-28.88333300,27.89000000,12-01-2011,117.44000000,271.7000000,10.00000000,164.200000,14007.5,9248.0,12553.5,9979.0,0.0547419148375435,-0.1516180079352331
-27.00222000,28.76528000,13-01-2011,63.84800000,190.9000000,62.00000000,161.600000,13724.0,9691.0,13005.5,10754.5,0.0268804130268054,-0.1460357323816441
-27.02314000,28.59389000,13-01-2011,62.80600000,192.7000000,35.00000000,163.100000,11490.5,9969.5,10372.5,9135.0,0.0511366235191874,-0.0198112280011797
-30.53416700,24.96194400,13-01-2011,100.96200000,142.6000000,80.00000000,205.000000,15132.5,10835.0,13586.0,11169.0,0.05385030555217,-0.11264894967446
-28.46083300,21.24888900,13-01-2011,102.89800000,353.0000000,51.00000000,244.700000,14599.0,12046.5,12067.0,11038.5,0.0949523738093448,-0.000850146183673
-29.65805600,25.97333300,14-01-2011,86.74200000,107.0000000,85.00000000,186.900010,14001.0,10765.0,12520.0,10583.0,0.0558425398740618,-0.0753704101352799
-28.76083300,17.73027800,16-01-2011,95.39800000,297.2000000,64.00000000,257.500000,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225
-25.51388900,31.22444400,17-01-2011,63.16500000,155.5000000,11.00000000,149.400010,14776.0,9116.5,12424.0,9895.0,0.0864705882352938,-0.1535479677816199
-26.86111100,28.88472200,17-01-2011,101.68500000,315.4000000,114.00000000,161.000000,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211
-31.55472200,29.24555600,17-01-2011,58.20000000,197.2000000,12.00000000,123.700005,19619.0,9449.0,13890.0,10042.0,0.1709689934047564,-0.1902823599982853
-28.05888900,30.37361100,17-01-2011,58.00000000,220.0000000,100.00000000,158.000000,14514.0,9326.0,12189.5,9706.0,0.087048514239706,-0.1330900978364428
-25.12777800,27.62888900,18-01-2011,131.00000000,415.0000000,163.00000000,169.300000,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741
-25.20639000,27.55800000,18-01-2011,102.00000000,516.0000000,90.00000000,170.000000,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489
-24.69514000,27.40906000,18-01-2011,124.00000000,509.0000000,158.00000000,172.900010,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377
